Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.17,0,0.5726111905292273249521961398,0.572611190529227,0.559293964596079,0.572611190529227,0.559293964596079,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,10209840
0.18,0,0.5711736698553263254304423999,0.571173669855326,0.557856443922178,0.571173669855326,0.557856443922178,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,10810420
0.19,0,0.5698220525617318027062812416,0.569822052561732,0.556504826628584,0.569822052561732,0.556504826628584,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,11411000
0.20,0,0.5685511926322715763279986767,0.568551192632272,0.555233966699124,0.568551192632272,0.555233966699124,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,12011580
0.21,0,0.5673563990546838991715019472,0.567356399054684,0.554039173121536,0.567356399054684,0.554039173121536,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,12612150
0.22,0,0.5662333052648213762323573965,0.566233305264821,0.552916079331674,0.566233305264821,0.552916079331674,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,13212730
0.23,0,0.5651779545448424549984313909,0.565177954544843,0.551860728611694,0.565177954544843,0.551860728611694,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,13813310
0.24,0,0.5641868614715258640665532165,0.564186861471526,0.550869635538378,0.564186861471526,0.550869635538378,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,14413890
0.25,0,0.5632567484828871734580468599,0.563256748482887,0.549939522549739,0.563256748482887,0.549939522549739,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,15014470
0.26,0,0.5626175402815049482506249645,0.562617540281505,0.549300314348357,0.562617540281505,0.549300314348357,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,15615050
0.27,0,0.5620339481217728870801067237,0.562033948121773,0.548716722188625,0.562033948121773,0.548716722188625,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,16215630
0.28,0,0.5615034742604680822644164889,0.561503474260468,0.54818624832732,0.561503474260468,0.54818624832732,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,16816210
0.29,0,0.5610241187333393259287767023,0.561024118733339,0.547706892800192,0.561024118733339,0.547706892800192,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,17416780
0.30,0,0.5605938317159715445638979646,0.560593831715972,0.547276605782824,0.560593831715972,0.547276605782824,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,18017360
0.31,0,0.5602110578450251245184438471,0.560211057845025,0.546893831911877,0.560211057845025,0.546893831911877,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,18617940
0.32,0,0.5598742883333985465872099767,0.559874288333398,0.546557062400251,0.559874288333398,0.546557062400251,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,19218520
0.33,0,0.5595822207538583809919024243,0.559582220753858,0.546264994820711,0.559582220753858,0.546264994820711,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,19819100
0.34,0,0.5593336092479636275628231758,0.559333609247964,0.546016383314816,0.559333609247964,0.546016383314816,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,20419680
0.35,0,0.5591275875645818152034582783,0.559127587564582,0.545810361631434,0.559127587564582,0.545810361631434,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,21020260
0.36,0,0.5589631996258100998982585662,0.55896319962581,0.545645973692662,0.55896319962581,0.545645973692662,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,21620840
0.37,0,0.5588397312862942755133753924,0.558839731286294,0.545522505353146,0.558839731286294,0.545522505353146,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,22221420
0.38,0,0.5587566496942897661721234517,0.55875664969429,0.545439423761142,0.55875664969429,0.545439423761142,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,22821990
0.39,0,0.5587132888855646076501015689,0.558713288885565,0.545396062952417,0.558713288885565,0.545396062952417,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,23422570
0.40,0,0.5587094750034172528117137370,0.558709475003417,0.545392249070269,0.558709475003417,0.545392249070269,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,24023150
0.41,0,0.5587448127454837055157682324,0.558744812745484,0.545427586812336,0.558744812745484,0.545427586812336,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,24623730
0.42,0,0.5588191476459303034682611858,0.55881914764593,0.545501921712782,0.55881914764593,0.545501921712782,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,25224310
0.43,0,0.5589325057516745439188940895,0.558932505751674,0.545615279818527,0.558932505751674,0.545615279818527,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,25824890
0.44,0,0.5590848245337229124872706517,0.559084824533723,0.545767598600575,0.559084824533723,0.545767598600575,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,26425470
0.45,0,0.5592765010732879799517877156,0.559276501073288,0.54595927514014,0.559276501073288,0.54595927514014,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,27026040
0.46,0,0.5595074872871838224403429174,0.559507487287184,0.546190261354036,0.559507487287184,0.546190261354036,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,27626620
0.47,0,0.5597784865836816021203187359,0.559778486583682,0.546461260650534,0.559778486583682,0.546461260650534,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,28227200
0.48,0,0.5600897523542942365852428178,0.560089752354294,0.546772526421146,0.560089752354294,0.546772526421146,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,28827780
0.49,0,0.5604419510091697498979838914,0.56044195100917,0.547124725076022,0.56044195100917,0.547124725076022,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,29428360
0.50,0,0.5608359042913197234296770940,0.56083590429132,0.547518678358172,0.56083590429132,0.547518678358172,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,30028940
0.51,0,0.5612723419228983437492735058,0.561272341922898,0.54795511598975,0.561272341922898,0.54795511598975,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,30629520
0.52,0,0.5617521637457059586293074654,0.561752163745706,0.548434937812558,0.561752163745706,0.548434937812558,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,31230100
0.53,0,0.5622767047475733980950397243,0.562276704747573,0.548959478814426,0.562276704747573,0.548959478814426,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,31830670
0.54,0,0.5628991703036838173147842335,0.562899170303684,0.549581944370536,0.562899170303684,0.549581944370536,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,32431260
0.55,0,0.5639818008614134707982458592,0.563981800861414,0.550664574928266,0.563981800861414,0.550664574928266,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,33031830
0.56,0,0.5651031196056252196489381394,0.565103119605625,0.551785893672477,0.565103119605625,0.551785893672477,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,33632410
0.57,0,0.5662651648995157224595040384,0.566265164899516,0.552947938966368,0.566265164899516,0.552947938966368,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,34232990
0.58,0,0.5674703975840455710392666207,0.567470397584046,0.554153171650898,0.567470397584046,0.554153171650898,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,34833570
0.59,0,0.5687211560266575373842810656,0.568721156026658,0.555133725510324,0.568721156026658,0.555133725510324,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,35434150
0.60,0,0.5700203010725303401899744488,0.57002030107253,0.556162665973011,0.57002030107253,0.556162665973011,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,36034730
0.61,0,0.5717922323059378998274320849,0.571792232305938,0.557664392623233,0.571792232305938,0.557664392623233,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,36635310
0.62,0,0.5736037321123141887645472350,0.573603732112314,0.559205687846423,0.573603732112314,0.559205687846423,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,37235880
0.63,0,0.5754733367375869063285632480,0.575473336737587,0.56080508788851,0.575473336737587,0.56080508788851,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,37836460
0.64,0,0.5774050457973774209964519529,0.577405045797377,0.562466592365115,0.577405045797377,0.562466592365115,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,38437040
0.65,0,0.5794030589093362137880433937,0.579403058909336,0.564194400893888,0.579403058909336,0.564194400893888,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,39037620
0.66,0,0.5814723563120389506904261279,0.581472356312039,0.565993493713405,0.581472356312039,0.565993493713405,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,39638200
0.67,0,0.5836180763893378301877807718,0.583618076389338,0.567869009207518,0.583618076389338,0.567869009207518,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,40238780
0.68,0,0.5858459993837969270596418038,0.585845999383797,0.569826727618791,0.585845999383797,0.569826727618791,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,40839360
0.69,0,0.5881628443021414501828691710,0.588162844302142,0.57187336795395,0.588162844302142,0.57187336795395,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,41439940
0.70,0,0.5905755720097793257778812657,0.590575572009779,0.574015891078402,0.590575572009779,0.574015891078402,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,42040510
0.71,0,0.5907012015173455930482773790,0.590701201517346,0.573871316002782,0.590701201517346,0.573871316002782,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,42641090
0.72,0,0.5906799324563135355267726707,0.590679932456314,0.573579842358564,0.590679932456314,0.573579842358564,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,43241670
0.73,0,0.5906588644600826291749001620,0.590658864460083,0.573288569779148,0.590658864460083,0.573288569779148,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,43842250
0.74,0,0.5906377971639574093864077795,0.590637797163957,0.572997297899836,0.590637797163957,0.572997297899836,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,44442830
0.75,0,0.5906168302051399450320658945,0.59061683020514,0.572706126357833,0.59061683020514,0.572706126357833,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,45043410
0.76,0,0.5905960632227147952010132204,0.590596063222715,0.572415154792222,0.590596063222715,0.572415154792222,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,45643990
0.77,0,0.5905752958576363659421027117,0.590575295857636,0.572124182843958,0.590575295857636,0.572124182843958,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,46244560
0.78,0,0.5905547277527169756569782820,0.590554727752717,0.571833410155853,0.590554727752717,0.571833410155853,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,46845140
0.79,0,0.5905341585526144480586643093,0.590534158552614,0.571542636372565,0.590534158552614,0.571542636372565,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,47445720
0.80,0,0.5905136879038189051301551405,0.590513687903819,0.571251961140583,0.590513687903819,0.571251961140583,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,48046300
0.81,0,0.5963296960735489033315717834,0.596329696073549,0.576797764727127,0.596329696073549,0.576797764727127,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,48646880
0.82,0,0.6021457214741068984334570927,0.602145721474107,0.5823435855445,0.602145721474107,0.5823435855445,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,49247460
0.83,0,0.6079618637574069098492267802,0.607961863757407,0.587889523244614,0.607961863757407,0.587889523244614,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,49848040
0.84,0,0.6137780838149653946799769533,0.613778083814966,0.593435538718986,0.613778083814966,0.593435538718986,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,50448620
0.85,0,0.6195944006833463606474812951,0.619594400683346,0.598981651004182,0.619594400683346,0.598981651004182,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,51049200
0.86,0,0.6254108140197811596125621014,0.625410814019781,0.604527859757431,0.625410814019781,0.604527859757431,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,51649780
0.87,0,0.6312273234832507821540870261,0.631227323483251,0.610074164637714,0.631227323483251,0.610074164637714,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,52250350
0.88,0,0.6370439287344726505275585863,0.637043928734473,0.61562056530575,0.637043928734473,0.61562056530575,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,52850930
0.89,0,0.6428606294358923927099217016,0.642860629435892,0.621167061423984,0.642860629435892,0.621167061423984,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,53451510
0.90,0,0.6486774252516667542719351644,0.648677425251667,0.626713652656573,0.648677425251667,0.626713652656573,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,54052090
0.91,0,0.653088431743378,0.653088431743378,0.630975305494638,0.653088431743378,0.630975305494638,0,0,0,0,8.62010897078493,75.0301019855705,74.7724588863384,54652670
0.92,0,0.666321451218512,0.666321451218512,0.643760264008832,0.666321451218512,0.643760264008832,0,0,0,0,8.90325630214638,75.3489876806007,74.8337014821364,55253250
0.93,0,0.681898486042739,0.681898486042739,0.658385651811977,0.681898486042739,0.658385651811977,0,0,0,0,9.18640363350782,75.6678733756309,74.8949440779345,55853830
0.94,0,0.693203026478492,0.693203026478492,0.668458989646978,0.693203026478492,0.668458989646978,0,0,0,0,9.46955096486926,75.9867590706611,74.9561866737326,56454400
0.95,0,0.704507566914245,0.704507566914245,0.678532327481979,0.704507566914245,0.678532327481979,0,0,0,0,9.7526982962307,76.3056447656913,75.0174292695307,57054980
0.96,0,0.715812107349998,0.715812107349998,0.68860566531698,0.715812107349998,0.68860566531698,0,0,0,0,10.0358456275921,76.6245304607215,75.0786718653288,57655560
0.97,0,0.72711664778575,0.72711664778575,0.698679003151981,0.72711664778575,0.698679003151981,0,0,0,0,10.3189929589536,76.9434161557517,75.1399144611268,58256140
0.98,0,0.738421188221503,0.738421188221503,0.708752340986982,0.738421188221503,0.708752340986982,0,0,0,0,10.602140290315,77.2623018507819,75.2011570569249,58856720
0.99,0,0.749725728657256,0.749725728657256,0.718825678821983,0.749725728657256,0.718825678821983,0,0,0,0,10.8852876216765,77.5811875458122,75.262399652723,59457300
1.00,0,0.761030269093008,0.761030269093008,0.728899016656984,0.761030269093008,0.728899016656984,0,0,0,0,11.1684349530379,77.9000732408424,75.323642248521,60057880
1.01,0,0.772334809528761,0.772334809528761,0.738972354491985,0.772334809528761,0.738972354491985,0,0,0,0,11.4515822843993,78.2189589358726,75.3848848443191,60658460
1.02,0,0.783639349964514,0.783639349964514,0.749045692326986,0.783639349964514,0.749045692326986,0,0,0,0,11.7347296157608,78.5378446309028,75.4461274401172,61259040
1.03,0,0.794943890400266,0.794943890400266,0.759119030161987,0.794943890400266,0.759119030161987,0,0,0,0,12.0178769471222,78.856730325933,75.5073700359153,61859610
1.04,0,0.806248430836019,0.806248430836019,0.769192367996988,0.806248430836019,0.769192367996988,0,0,0,0,12.3010242784837,79.1756160209632,75.5686126317134,62460190
1.05,0,0.8175529712717720142558463548,0.817552971271772,0.779265705831989,0.817552971271772,0.779265705831989,0,0,0,0,12.584171609845112290802559921,79.49450171599341422324086097,75.62985522751146001518766806,63060770
1.06,0,0.8151324893402059818781199070,0.815132489340206,0.777007645880411,0.815132489340206,0.777007645880411,0,0,0,0,12.638826978643402290802559921,79.52616033939416537251410305,75.673454546168792235934281614,63661350
1.07,0,0.8127365607849558178043100450,0.812736560784956,0.774774139305149,0.812736560784956,0.774774139305149,0,0,0,0,12.689352135046672290802559921,79.55591746859075434819537312,75.714084844230142412558395669,64261930
1.08,0,0.8103649105799558400074223802,0.810364910579956,0.772564911080136,0.810364910579956,0.772564911080136,0,0,0,0,12.73662864421154229080255992,79.58418039098439837901169642,75.752381009819708452173816432,64862510
1.09,0,0.8080175355733142304337601979,0.808017535573314,0.770379958053483,0.808017535573314,0.770379958053483,0,0,0,0,12.781267392076222290802559921,79.61124574083748757816001899,75.788795140654590367431139209,65463090
1.10,0,0.8056942544059886042690728512,0.805694254405989,0.768219098866145,0.805694254405989,0.768219098866145,0,0,0,0,12.823712631259862290802559921,79.63732436185315304511640452,75.823651798153525170737874754,66063670
1.11,0,0.8033950774370054137702341868,0.803395077437006,0.76608234387715,0.803395077437006,0.76608234387715,0,0,0,0,12.86429826057427229080255992,79.66256261491177438702246947,75.857184582632178651239599095,66664240
1.12,0,0.8011200266748714378491574045,0.801120026674871,0.763969715095004,0.801120026674871,0.763969715095004,0,0,0,0,12.903281778149482290802559921,79.68708245079363357456943081,75.889581374081508080324164033,67264820
1.13,0,0.7988686957148176031116474871,0.798868695714818,0.761880806114938,0.798868695714818,0.761880806114938,0,0,0,0,12.940869785103742290802559921,79.71097521260333721556649662,75.920987277071323583891246741,67865400
1.14,0,0.7966412996815476629689877694,0.796641299681548,0.759815832061656,0.796641299681548,0.759815832061656,0,0,0,0,12.97722715938043229080255992,79.73433845088801922851089384,75.951539169453623428372625876,68465980
1.15,0,0.7944376351771702319730317929,0.79443763517717,0.757774589537266,0.79443763517717,0.757774589537266,0,0,0,0,13.01249103022300229080255992,79.75721846133171394347872462,75.981321120894325019349286614,69066560
1.16,0,0.7913659094809013080095768530,0.791365909480901,0.754865285820985,0.791365909480901,0.754865285820985,0,0,0,0,13.046774099355412290802559921,79.77966993270750788226355628,76.010416455622102120609598546,69667140
1.17,0,0.7882888327413698534124887685,0.78828883274137,0.751950631061441,0.78828883274137,0.751950631061441,0,0,0,0,13.080172511674832290802559921,79.80175087341765973119950175,76.038905916517685809632329539,70267710
1.18,0,0.7852390057554742013652298028,0.785239005755474,0.749063226055534,0.785239005755474,0.749063226055534,0,0,0,0,13.11276770627616229080255992,79.82347433094177249050551495,76.066827082401157297470196168,70868300
1.19,0,0.7820935862278428427953823616,0.782093586227843,0.74608022850789,0.782093586227843,0.74608022850789,0,0,0,0,13.14463060262814229080255992,79.84490532181871022066123213,76.094258488023554235013281352,71468880
1.20,0,0.7786556014221099074748820726,0.77865560142211,0.74269909140261,0.77865560142211,0.74269909140261,0,0,0,0,13.17582155976351229080255992,79.86604981172451974657147817,76.121224823684376485530361166,72069460
1.21,0,0.7752486216764103369058766198,0.77524862167641,0.739292111656911,0.77524862167641,0.739292111656911,0,0,0,0,13.186431362343932290802559921,79.85894615607227412513820845,76.118160455264770080012455533,72670030
1.22,0,0.7718723307729310075463775005,0.771872330772931,0.735915820753432,0.771872330772931,0.735915820753432,0,0,0,0,13.169913043276462290802559921,79.8142928861438105228634645,76.075274063425203998231473345,73270620
1.23,0,0.7685267137074579713912086836,0.768526713707458,0.732570203687959,0.768526713707458,0.732570203687959,0,0,0,0,13.153637877448382290802559921,79.77040601812279715143886786,76.033116605425481779838167636,73871190
1.24,0,0.7652117366724464074337033273,0.765211736672446,0.729255226652947,0.765211736672446,0.729255226652947,0,0,0,0,13.13759017726915229080255992,79.72722596328180759581191841,75.991632436837712915624201817,74471770
1.25,0,0.7619270770415961651284343039,0.761927077041596,0.725970567022097,0.761927077041596,0.725970567022097,0,0,0,0,13.121751495164652290802559921,79.68471307258488465818204369,75.950782203956588439501138391,75072340
1.26,0,0.7586726792336573367665829904,0.758672679233657,0.722716169214158,0.758672679233657,0.722716169214158,0,0,0,0,13.10610880948245229080255992,79.64281363468211208812733841,75.910516093911297007692913527,75672930
1.27,0,0.7554556275920082681531635885,0.755455627592008,0.719499117572509,0.755455627592008,0.719499117572509,0,0,0,0,13.090648897236042290802559921,79.60150012295692061444587835,75.87080663878730580766366923,76273500
1.28,0,0.7522741312916079670474302148,0.752274131291608,0.716317621272109,0.752274131291608,0.716317621272109,0,0,0,0,13.075359772319372290802559921,79.5607244556085423352930148,75.831609172175445369014007302,76874080
1.29,0,0.7491264126314124222493615706,0.749126412631412,0.713169902611913,0.749126412631412,0.713169902611913,0,0,0,0,13.06023005573933229080255992,79.52047237634900308566073825,75.79290811673086109082486355,77474660
1.30,0,0.7460116204731640500154248711,0.746011620473164,0.710055110453665,0.746011620473164,0.710055110453665,0,0,0,0,13.045251299251492290802559921,79.4806838699528224169477168,75.754649656473709329499333613,78075240
1.31,0,0.7429293822022405723031172270,0.742929382202241,0.706972872182741,0.742929382202241,0.706972872182741,0,0,0,0,13.03041381962745229080255992,79.44136904891423869124668037,75.716839532236973618859066129,78675820
1.32,0,0.7398790300718535362773251863,0.739879030071854,0.703922520052354,0.739879030071854,0.703922520052354,0,0,0,0,13.01570860670523229080255992,79.40247867632453319618099792,75.679433000238603928419447583,79276400
1.33,0,0.7368606854337557716727792084,0.736860685433756,0.700904175414256,0.736860685433756,0.700904175414256,0,0,0,0,13.00112975638342229080255992,79.36399735033924566544587088,75.642415109201225796207139101,79876980
1.34,0,0.7338737127760677558354756888,0.733873712776068,0.697917202756568,0.733873712776068,0.697917202756568,0,0,0,0,12.98666850289225229080255992,79.32589876196580052854759657,75.605760786748607656667875783,80477560
1.35,0,0.7309181757687960396264997052,0.730918175768796,0.694961665749297,0.730918175768796,0.694961665749297,0,0,0,0,12.97232035470789229080255992,79.28817439356789937260720467,75.569461375070730448423918385,81078140
1.36,0,0.7279936990072201113889898519,0.72799369900722,0.692037188987721,0.72799369900722,0.692037188987721,0,0,0,0,12.958078348471012290802559921,79.25079851054081235502970691,75.53349282367648245940000181,81678710
1.37,0,0.7251000927792649820211177846,0.725100092779265,0.689143582759766,0.725100092779265,0.689143582759766,0,0,0,0,12.94393648902005229080255992,79.213762503545786527024795972,75.497845976364564708840838643,82279300
1.38,0,0.7222373795700242240040930253,0.722237379570024,0.686280869550525,0.722237379570024,0.686280869550525,0,0,0,0,12.929890523391222290802559921,79.177036292873708028803677301,75.462493871274530768419358604,82879870
1.39,0,0.7194052116298289607307419349,0.719405211629829,0.68344870161033,0.719405211629829,0.68344870161033,0,0,0,0,12.91593468411835229080255992,79.140615174648768769332994634,75.427430760488244185193053189,83480450
1.40,0,0.7166034292250836202983033212,0.716603429225084,0.680646919205584,0.716603429225084,0.680646919205584,0,0,0,0,12.902065582882382290802559921,79.104494448735051093048920724,75.392651582325570903508669799,84081020
1.41,0,0.7138317993458315751557971280,0.713831799345832,0.677875289326332,0.713831799345832,0.677875289326332,0,0,0,0,12.88827880745669229080255992,79.068639926952001109380736099,75.358125851221061609229181496,84681610
1.42,0,0.7110903647284678979895285654,0.711090364728468,0.675133854708969,0.711090364728468,0.675133854708969,0,0,0,0,12.87457009281136229080255992,79.033056944286848694318098115,75.323856817555776185538161553,85282180
1.43,0,0.7083788931026533432310108002,0.708378893102653,0.672422383083154,0.708378893102653,0.672422383083154,0,0,0,0,12.860935445998652290802559921,78.997729567429742181393809169,75.289829685434628421988604568,85882760
1.44,0,0.7056972666008949754846505276,0.705697266600895,0.669740756581396,0.705697266600895,0.669740756581396,0,0,0,0,12.842855967356802023212497197,78.962646407033026016190869535,75.263521854386902267467108719,86483340
1.45,0,0.7030453312896558117828610806,0.703045331289656,0.667088821270156,0.703045331289656,0.667088821270156,0,0,0,0,12.822347345382707814354379259,78.92779665562576719268091518,75.24157445960945635777637267,87083930
